V2 gene_grou	p  0.01 1			
AT1G35740	gene_group	1	0.01	1
AT5G56330	gene_group	1	0.01	1
AT1G62440	gene_group	1	0.01	1
AT4G30380	gene_group	1	0.01	1
AT3G10710	gene_group	1	0.01	1
AT5G40420	gene_group	1	0.01	1
AT2G03770	gene_group	1	0.01	1
AT1G28170	gene_group	1	0.01	1
AT2G31690	gene_group	1	0.01	1
AT2G37140	gene_group	1	0.01	1
AT5G48010	gene_group	1	0.01	1
AT1G48800	gene_group	1	0.01	1
AT4G15870	gene_group	1	0.01	1
AT3G14520	gene_group	1	0.01	1
AT2G23510	gene_group	1	0.01	1
AT1G51490	gene_group	1	0.01	1
AT2G37700	gene_group	1	0.01	1
AT1G17010	gene_group	1	0.01	1
AT5G07850	gene_group	1	0.01	1
AT1G50580	gene_group	1	0.01	1
AT1G48690	gene_group	1	0.01	1
AT5G03310	gene_group	1	0.01	1
AT5G43410	gene_group	1	0.01	1
AT1G58190	gene_group	1	0.01	1
AT1G33900	gene_group	1	0.01	1
AT2G02120	gene_group	1	0.01	1
AT1G09090	gene_group	1	0.01	1
AT1G33960	gene_group	1	0.01	1
AT4G27190	gene_group	1	0.01	1
AT3G14460	gene_group	1	0.01	1
AT1G17615	gene_group	1	0.01	1
AT5G40155	gene_group	1	0.01	1
AT4G15755	gene_group	1	0.01	1
AT5G54460	gene_group	1	0.01	1
AT2G03720	gene_group	1	0.01	1
AT1G65990	gene_group	1	0.01	1
AT5G05900	gene_group	1	0.01	1
AT2G32740	gene_group	1	0.01	1
AT5G05880	gene_group	1	0.01	1
AT2G44560	gene_group	1	0.01	1
AT3G26130	gene_group	1	0.01	1
AT4G12270	gene_group	1	0.01	1
AT4G35820	gene_group	1	0.01	1
AT1G12130	gene_group	1	0.01	1
AT1G74110	gene_group	1	0.01	1
AT4G31940	gene_group	1	0.01	1
AT5G24070	gene_group	1	0.01	1
AT4G30170	gene_group	1	0.01	1
AT5G23470	gene_group	1	0.01	1
AT5G46000	gene_group	1	0.01	1
AT5G38550	gene_group	1	0.01	1
AT1G60500	gene_group	1	0.01	1
AT2G26720	gene_group	1	0.01	1
AT2G47120	gene_group	1	0.01	1
AT2G27570	gene_group	1	0.01	1
AT3G51210	gene_group	1	0.01	1
AT2G38340	gene_group	1	0.01	1
AT3G04280	gene_group	1	0.01	1
AT2G17180	gene_group	1	0.01	1
AT2G38195	gene_group	1	0.01	1
AT1G09030	gene_group	1	0.01	1
AT1G72080	gene_group	1	0.01	1
AT5G27580	gene_group	1	0.01	1
AT3G30260	gene_group	1	0.01	1
AT2G30380	gene_group	1	0.01	1
AT5G40350	gene_group	1	0.01	1
AT5G58850	gene_group	1	0.01	1
AT3G48920	gene_group	1	0.01	1
AT2G37000	gene_group	1	0.01	1
AT1G69810	gene_group	1	0.01	1
AT5G15130	gene_group	1	0.01	1
AT4G31680	gene_group	1	0.01	1
AT1G14687	gene_group	1	0.01	1
AT2G25370	gene_group	1	0.01	1
AT5G07260	gene_group	1	0.01	1
AT5G04210	gene_group	1	0.01	1
AT2G17490	gene_group	1	0.01	1
AT2G45230	gene_group	1	0.01	1
AT5G55875	gene_group	1	0.01	1
AT5G34460	gene_group	1	0.01	1
AT2G37440	gene_group	1	0.01	1
AT5G20800	gene_group	1	0.01	1
AT3G60170	gene_group	1	0.01	1
AT5G17720	gene_group	1	0.01	1
AT2G16670	gene_group	1	0.01	1
AT4G05610	gene_group	1	0.01	1
AT4G15590	gene_group	1	0.01	1
AT2G13230	gene_group	1	0.01	1
AT1G50160	gene_group	1	0.01	1
AT2G04760	gene_group	1	0.01	1
AT4G04070	gene_group	1	0.01	1
AT3G30620	gene_group	1	0.01	1
AT1G36040	gene_group	1	0.01	1
AT5G55875	gene_group	1	0.01	1
AT3G31380	gene_group	1	0.01	1
AT1G59770	gene_group	1	0.01	1
AT4G07540	gene_group	1	0.01	1
AT5G35140	gene_group	1	0.01	1
AT3G32950	gene_group	1	0.01	1
AT1G36910	gene_group	1	0.01	1
AT3G30330	gene_group	1	0.01	1
AT5G30480	gene_group	1	0.01	1
AT3G33377	gene_group	1	0.01	1
AT4G08420	gene_group	1	0.01	1
AT4G08970	gene_group	1	0.01	1
AT1G43930	gene_group	1	0.01	1
AT1G59770	gene_group	1	0.01	1
AT3G30420	gene_group	1	0.01	1
AT2G05090	gene_group	1	0.01	1
AT3G42220	gene_group	1	0.01	1
AT1G67240	gene_group	1	0.01	1
AT1G52950	gene_group	1	0.01	1
AT2G07630	gene_group	1	0.01	1
