AT1G35740	minor CHO metabolism.callose	3.6
AT4G35650	TCA / org. transformation.other organic acid transformaitons.IDH	8.2.4
AT4G20990	TCA / org. transformation.carbonic anhydrases	8.3
AT1G14110	cell wall.hemicellulose synthesis	10.3
AT3G62680	cell wall.cell wall proteins.proline rich proteins	10.5.2
AT5G26120	cell wall.degradation.mannan-xylose-arabinose-fucose	10.6.2
AT4G37950	cell wall.degradation.pectate lyases and polygalacturonases	10.6.3
AT3G07850	cell wall.degradation.pectate lyases and polygalacturonases	10.6.3
AT2G43870	cell wall.degradation.pectate lyases and polygalacturonases	10.6.3
AT5G57530	cell wall.modification	10.7
AT5G39270	cell wall.modification	10.7
AT1G11370	cell wall.pectin*esterases.PME	10.8.1
AT4G02320	cell wall.pectin*esterases.misc	10.8.99
AT5G51490	cell wall.pectin*esterases.misc	10.8.99
AT5G40420	lipid metabolism.TAG synthesis	11.4
AT3G45070	"lipid metabolism.''exotics'' (steroids, squalene etc)"	11.8
AT2G03770	"lipid metabolism.''exotics'' (steroids, squalene etc)"	11.8
AT1G28170	"lipid metabolism.''exotics'' (steroids, squalene etc)"	11.8
AT1G28650	lipid metabolism.lipid degradation.lipases	11.9.2
AT5G58050	lipid metabolism.lipid degradation.lysophospholipases.glycerophosphodiester phosphodiesterase	11.9.3.3
AT3G44560	lipid metabolism.lipid degradation.beta-oxidation.acyl CoA reductase	11.9.4.13
AT3G55870	amino acid metabolism.synthesis.aromatic aa.tryptophan.anthranilate synthase	13.1.6.5.1
AT5G37860	"metal handling.binding, chelation and storage"	15.2
AT3G32040	secondary metabolism.isoprenoids.non-mevalonate pathway.geranylgeranyl pyrophosphate synthase	16.1.1.10
AT3G29420	secondary metabolism.isoprenoids.non-mevalonate pathway.geranylgeranyl pyrophosphate synthase	16.1.1.10
AT1G61680	secondary metabolism.isoprenoids.terpenoids	16.1.5
AT5G48010	secondary metabolism.isoprenoids.terpenoids	16.1.5
AT3G14520	secondary metabolism.isoprenoids.terpenoids	16.1.5
AT3G50300	secondary metabolism.phenylpropanoids	16.2
AT2G23910	secondary metabolism.phenylpropanoids	16.2
AT1G51490	secondary metabolism.N misc.cyanogenic glycosides	16.4.3.1
AT1G65880	secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.benzoate-CoA ligase	16.5.1.1.1.12
AT2G37700	secondary metabolism.wax	16.7
AT5G54010	secondary metabolism.flavonoids.dihydroflavonols	16.8.3
AT1G61720	secondary metabolism.flavonoids.dihydroflavonols.dihydrokaempferol 4-reductase	16.8.3.1
AT5G63600	secondary metabolism.flavonoids.flavonols	16.8.4
AT4G13660	secondary metabolism.flavonoids.isoflavonols	16.8.5
AT1G50580	hormone metabolism.auxin.synthesis-degradation	17.2.1
AT3G53250	hormone metabolism.auxin.induced-regulated-responsive-activated	17.2.3
AT4G13790	hormone metabolism.auxin.induced-regulated-responsive-activated	17.2.3
AT1G43040	hormone metabolism.auxin.induced-regulated-responsive-activated	17.2.3
AT2G24400	hormone metabolism.auxin.induced-regulated-responsive-activated	17.2.3
AT2G47430	hormone metabolism.cytokinin.signal transduction	17.4.2
AT5G20550	hormone metabolism.ethylene.synthesis-degradation	17.5.1
AT5G65800	hormone metabolism.ethylene.synthesis-degradation.1-aminocyclopropane-1-carboxylate synthase	17.5.1.1
AT1G60380	hormone metabolism.jasmonate.synthesis-degradation	17.7.1
AT1G09400	hormone metabolism.jasmonate.synthesis-degradation.12-Oxo-PDA-reductase	17.7.1.5
AT4G31470	stress.biotic	20.1
AT5G17540	stress.biotic	20.1
AT2G43600	stress.biotic	20.1
AT1G33900	stress.biotic	20.1
AT5G02140	stress.biotic	20.1
AT4G30070	stress.biotic	20.1
AT5G38330	stress.biotic	20.1
AT1G75830	stress.biotic	20.1
AT2G02120	stress.biotic	20.1
AT2G44110	stress.biotic.signalling.MLO-like	20.1.3.1
AT5G49140	stress.biotic.PR-proteins	20.1.7
AT4G27190	stress.biotic.PR-proteins	20.1.7
AT5G45210	stress.biotic.PR-proteins	20.1.7
AT1G72290	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor	20.1.7.6.1
AT1G47540	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor	20.1.7.6.1
AT5G43510	stress.biotic.PR-proteins.plant defensins	20.1.7.12
AT1G52560	stress.abiotic.heat	20.2.1
AT4G27670	stress.abiotic.heat	20.2.1
AT4G15755	stress.abiotic.cold	20.2.2
AT1G62320	stress.abiotic.drought/salt	20.2.3
AT4G14060	stress.abiotic.unspecified	20.2.99
AT2G03720	stress.abiotic.unspecified	20.2.99
AT2G34700	stress.abiotic.unspecified	20.2.99
AT3G11920	redox.glutaredoxins	21.4
AT1G48130	redox.peroxiredoxin.PER1	21.5.2
AT4G29570	nucleotide metabolism.degradation	23.2
AT4G29600	nucleotide metabolism.degradation	23.2
AT3G57620	Biodegradation of Xenobiotics	24
AT2G43840	misc.UDP glucosyl and glucoronyl transferases	26.2
AT2G36760	misc.UDP glucosyl and glucoronyl transferases	26.2
AT1G73160	misc.UDP glucosyl and glucoronyl transferases	26.2
AT2G23250	misc.UDP glucosyl and glucoronyl transferases	26.2
AT5G41250	misc.UDP glucosyl and glucoronyl transferases	26.2
AT5G05880	misc.UDP glucosyl and glucoronyl transferases	26.2
AT5G24550	"misc.gluco-, galacto- and mannosidases"	26.3
AT2G44550	"misc.gluco-, galacto- and mannosidases.endoglucanase"	26.3.4
AT1G21860	"misc.oxidases - copper, flavone etc."	26.7
AT1G31670	"misc.oxidases - copper, flavone etc."	26.7
AT1G30710	"misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases"	26.8
AT1G34575	"misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases"	26.8
AT5G44360	"misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases"	26.8
AT1G74110	misc.cytochrome P450	26.10
AT3G53290	misc.cytochrome P450	26.10
AT1G64940	misc.cytochrome P450	26.10
AT4G31940	misc.cytochrome P450	26.10
AT3G53300	misc.cytochrome P450	26.10
AT3G20950	misc.cytochrome P450	26.10
AT1G65340	misc.cytochrome P450	26.10
AT1G74540	misc.cytochrome P450	26.10
AT3G52970	misc.cytochrome P450	26.10
AT5G04630	misc.cytochrome P450	26.10
AT5G06900	misc.cytochrome P450	26.10
AT5G19880	misc.peroxidases	26.12
AT5G06730	misc.peroxidases	26.12
AT3G50990	misc.peroxidases	26.12
AT5G23470	misc.acid and other phosphatases	26.13
AT5G49870	misc.myrosinases-lectin-jacalin	26.16
AT1G60500	misc.dynamin	26.17
AT3G17220	misc.invertase/pectin methylesterase inhibitor family protein	26.18
AT1G73780	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein	26.21
AT3G52130	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein	26.21
AT2G17845	misc.short chain dehydrogenase/reductase (SDR)	26.22
AT2G47120	misc.short chain dehydrogenase/reductase (SDR)	26.22
AT2G27570	misc.sulfotransferase	26.25
AT3G51210	misc.sulfotransferase	26.25
AT1G71120	misc.GDSL-motif lipase	26.28
AT1G01760	RNA.processing	27.1
AT1G18050	RNA.processing	27.1
AT3G55930	RNA.processing.splicing	27.1.1
AT5G18810	RNA.processing.splicing	27.1.1
AT1G27720	RNA.transcription	27.2
AT2G38340	"RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family"	27.3.3
AT1G77200	"RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family"	27.3.3
AT5G19790	"RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family"	27.3.3
AT5G17430	"RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family"	27.3.3
